GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P30968,116976,Ki,-1.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](CC(C)C)NC(C)C)c3cccc(c3F)OC
P30968,425864,Ki,-1.11,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)NC)c4ccc5c(c4)OCCO5
P25929,414947,Kd,-10,CCC[C@@H](C(=O)N(C)[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc2ccc(cc2)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3ccc(cc3)O)C(=O)N)NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]5CCCN5C(=O)[C@H](Cc6ccc(cc6)O)N
P30968,380576,IC50,-2.26,CC(C)n1c2ccc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)C(C)(C)C
P30968,119739,Ki,-2.99,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C(C)C)N)c3cccc(c3F)OC
P30968,404180,Ki,-0.57,CC[C@@H](Cn1c(=O)c(c(n(c1=O)Cc2c(cccc2F)C(F)(F)F)C)c3cccc(c3Cl)OC)NC4CCCC4
P30968,178961,Ki,-2.66,COc1cccc(c1F)c2c3n(c(=O)n(c2=O)C[C@@H](c4ccccc4)N)C(CC3)c5ccccc5
P30968,132392,Ki,-2.64,CCCCNC(=O)c1cn(c2cc(c(n2c1=O)CN(C)CCN(CC)CC)c3ccc(cc3)NC(=O)CCC)Cc4ccccc4F
Q15722,24633,IC50,-10,CCCc1cc2c(cc1O)C(C(O2)CCSc3ccccn3)(C)C
P30968,495174,IC50,-1.32,Cc1c(nc(s1)C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P47901,1777825,IC50,-10,c1ccc(cc1)c2nc3ccc(cc3c(=O)n2CC(=O)NCC4CC4)c5cccc(c5)CN6CCCCC6
P30968,364510,IC50,-2.43,CCCn1c2c(cc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C)C(=O)N(C)C
P30968,277436,IC50,-2.3,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)OC)Cc5c(cccc5F)F)c6ccc(cc6)Cl
P25103,206983,IC50,-10,Cn1c(nnn1)C2CC3(C(CCC2N3)OCc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c5ccccc5
P25101,94525,IC50,-10,CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(c3ccccc3)c4ccccc4)NC(=O)C
P14416,152576,Ki,-10,COc1cccc(c1)C(=O)NCCCN2CCN(CC2)c3cccc(c3Cl)Cl
P30968,330804,Ki,-1.71,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C(C)C)N)c3cccc(c3F)OC
P30968,360143,Ki,0.15,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2Cl)F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,399772,IC50,-2.21,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCN(CC6)CC(=O)N7CCOCC7)C
P30968,331144,IC50,0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccnc(c6)C(C)(C)O)C
P30968,195726,IC50,-2.99,CC(C)n1c2ccc(cc2nc1SCc3cc(ccc3OC)C(=O)OC)NC(=O)C4CC4
P30968,298700,IC50,-1.26,CCN(CC)C(=O)c1ccc2c(c1)c(c([nH]2)c3cc(cc(c3)C)C)CCNCCCCc4ccncc4
P30968,445691,Ki,-1.82,COC(=O)CCCN[C@@H](Cn1c(=O)c(cn(c1=O)Cc2c(cccc2F)C(F)(F)F)c3ccccc3Cl)c4ccccc4
P30968,112378,IC50,0.1,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6cc[n+](cc6C)[O-])C
P30968,116074,Ki,-0.9,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](Cc3ccccc3)N(C)C)c4cccc(c4F)OC
P30968,369706,Ki,-3.18,CC(C)C[C@H](CCn1c(=O)n(c(=O)n(c1=O)c2cccc(c2F)OC)Cc3c(cccc3F)F)N
P30968,378845,IC50,-2.48,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CN(C)Cc4ccccc4)Cc5cccc(c5)F
P30968,121576,Ki,-2.01,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCC4CCC(CC4)CNc5ccnc(n5)Cl)C(CCC2(C)C)(C)C
P30968,208812,IC50,1,CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)c5ccccc5)CN(C)Cc6ccccc6
P30968,166649,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCc6cc-7ncnc7[nH]c6)C
P30968,111980,Ki,-1.95,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3ccccc3F)c4cccc(c4)OC
P30968,363731,Ki,-1.26,Cc1ccc(cc1)c2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C
P30968,449373,Ki,-0.67,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OCCCC(=O)O
P30968,23604,Ki,-2.34,Cc1ccc(cc1)c2c(n(c(=O)n(c2=O)CCN(C)CCc3ccccn3)Cc4c(cccc4F)F)C
